Id,SalePrice
2658,140041.50709589449
2718,162323.76704151748
2414,219613.06981143155
1989,103515.63977425972
625,174154.82977420848
333,91095.40698314493
1327,109777.00627599799
858,154105.73279182013
95,178623.41168033733
1568,159961.6268525129
2482,158583.71622609542
1364,118415.03656335507
2584,148345.0180588801
818,285849.5374143712
2673,142568.718642196
2089,117351.09896719086
1297,146561.28706374485
790,118681.92543224823
2616,184489.5320218174
720,188027.5316576441
222,156771.5089398192
557,126124.80154820955
1148,194517.17190578853
2766,165511.43808833018
534,180551.547230563
1452,124203.65398118083
630,122901.76487381892
2648,110032.25249692718
125,159280.14344790802
1904,74326.94794701645
1670,113484.60001173952
756,98976.19508345924
717,185013.14875480405
1032,151701.86999077667
852,222698.52670658677
1731,175197.28485411845
2639,115863.31093550542
2071,91338.87654320672
1267,124998.61536163303
1851,186829.90162103446
567,161574.73129818583
2439,204982.7198753058
1898,150719.88280927142
647,162943.45132583354
2256,213631.47044592007
979,93800.59131479697
1444,223646.26828156426
2485,119510.59012877884
157,136437.84862945252
88,118193.16803547872
2003,107040.59593713754
186,186996.12986948146
1425,243040.42902360615
2695,123993.14756159227
738,104648.27801207415
395,160764.20927634116
1353,159254.62124946175
1878,138403.04020517244
390,157005.55914310823
1456,232966.74738948824
1103,313815.5572674361
1387,119906.91028275108
2070,146219.2855934298
1199,170685.92157980808
2479,171290.6995833694
501,306040.5809629984
2362,97192.6747601827
1718,193837.01034864687
2188,86785.88494636753
1483,158404.84480510897
2557,93349.76103792585
437,372316.5106989155
2224,194497.20433069617
1628,170094.10690387225
397,141805.6797838954
587,198804.37101849334
971,136150.833692857
2611,139483.86136862347
1887,104410.57135581708
2399,353689.0092107767
2148,197824.49739049815
304,120742.89892386016
1997,126057.5536345556
2817,116920.95493945637
1431,197376.12129676205
427,338472.9622651536
263,128563.25819784522
598,166569.32149170735
2895,222519.28131451222
687,144699.2869412704
1822,136741.57743206917
2191,106430.67099244859
179,122273.64949176347
1009,208364.79727591283
2010,125274.07183384724
1991,128228.29771563142
1411,177820.2304022445
1721,228550.71074330213
1144,190071.15997306837
593,218313.12722675587
575,309170.6962779168
1249,168907.51707024142
1604,123053.04034339132
1064,544776.836008781
1923,147591.09959246605
1988,108784.43828520266
2325,168614.62351469343
114,199943.77486148896
2700,177567.99717699055
217,134414.89961045148
343,169142.3659434929
386,217644.01439549806
2005,109797.43391101077
2908,141744.97014441842
1814,228418.3446744133
2446,620203.4252788794
208,135073.09366241153
1679,108339.94943462509
822,312152.17468905495
6,194281.4825592491
1781,394691.6050781008
2397,282322.0551991417
2340,300596.8933468873
1618,177164.7344469195
2843,131956.8966304368
1061,362046.57336856355
2786,132180.82438787917
1935,135881.13995586403
1341,122451.21616906677
521,275627.4954115282
2136,135194.88619479747
996,197663.5038802065
227,146006.04740700655
135,180641.39448849892
1167,159670.1505362129
294,240399.5490848567
1776,199493.86830519282
540,161566.2080544102
1717,201323.05329482583
2303,132881.0466916483
116,181180.0423336054
127,140519.59957163167
1371,129962.38189906684
1014,150616.18886167655
1507,103657.0360317563
702,123652.15091623412
750,142094.98540093063
261,155397.92838374447
1559,67228.31392135622
577,217716.8574296479
2812,196094.3458922583
2080,151729.342553563
1368,107211.12426198977
2376,125344.57282573984
659,109071.08925896102
1235,132844.32152923755
332,80686.35353892193
1917,140512.25911497133
2094,255607.99667501682
1460,259736.1669010716
1471,211071.53627691948
1509,124706.50622535868
1922,133258.5030054225
433,536403.4641682368
460,241512.95391819178
1116,246758.19373280407
1137,162328.30189237845
53,173142.82294353173
2354,263627.21975201747
1475,202064.4965407114
1761,746804.5111533552
842,140518.927741439
2739,162765.62570033522
2509,150572.51841140908
1007,200603.0505362084
2610,179129.51414536414
1952,90309.95823058869
2719,161570.95177022155
2921,84970.66336494742
1966,139525.11496087592
292,109530.27845989936
1204,178251.7613345242
1829,260384.57631199175
2419,186209.73378614336
391,149749.4562948896
798,111955.4463300725
481,199148.75763589944
193,189481.7480313705
555,121396.6186967085
899,71858.63917095028
2357,188141.20326192153
